station_id,first_seen,last_seen,active_days,rent_events,ret_events,name,lat,lon,gu,dong,addr,span_days,activity_ratio,total_events,in_current_list,station_type
ST0619,2024-08-01,2026-03-30,370,796,798,용운동 용수골장작불가마 정류장,36.333754,127.455555,동구,용운동,대전광역시 동구 용운동 712,607,0.6096,1594,True,ACTIVE
ST0989,2024-08-03,2026-03-31,337,791,794,덕명동 덕송초등학교,36.360558,127.303068,유성구,덕명동,대전광역시 유성구 덕명동 555,606,0.5561,1585,True,ACTIVE
ST1298,2024-08-01,2026-03-31,425,791,787,상서동 대전상서 행복주택,36.423587,127.425142,대덕구,상서동,대전광역시 대덕구 상서동 146-28,608,0.699,1578,True,ACTIVE
ST0637,2024-08-01,2026-03-31,408,792,785,인동네거리,36.321923,127.438047,동구,인동,대전광역시 동구 인동 116-18,608,0.6711,1577,True,ACTIVE
ST0657,2024-08-05,2026-03-31,410,791,764,용전동 종근당빌딩,36.353404,127.439664,동구,용전동,대전광역시 동구 용전동 21-3,604,0.6788,1555,True,ACTIVE
ST1378,2024-11-16,2026-03-31,350,770,774,선화동 양지 근린 공원,36.324408,127.416411,중구,선화동,대전광역시 중구 선화동 362-99,501,0.6986,1544,True,ACTIVE
ST0089,2024-08-05,2026-03-31,326,773,767,덕명동 한밭대학교 학생동아리관,36.354468,127.30122,유성구,덕명동,대전광역시 유성구 덕명동 16-1,604,0.5397,1540,True,ACTIVE
ST0823,2024-08-01,2024-10-22,77,759,765,정림동 무궁화공원,36.302039,127.363585,서구,정림동,정림동 402-2,83,0.9277,1524,False,CLOSED
ST0965,2024-08-03,2026-03-31,386,759,760,송촌동 선비마을 3단지(303동),36.367138,127.441635,대덕구,송촌동,대전광역시 대덕구 송촌동 461-1,606,0.637,1519,True,ACTIVE
ST1517,2025-10-18,2026-03-31,143,763,749,중촌동 중촌시민공원 주차장 입구,36.343408,127.4045,중구,중촌동,대전광역시 중구 중촌동 255-3,165,0.8667,1512,True,ACTIVE
ST1447,2025-10-17,2026-03-31,132,755,752,원신흥동 LH 대전에너지사업단,36.332581,127.347761,유성구,원신흥동,대전광역시 유성구 원신흥동 524-4,166,0.7952,1507,True,ACTIVE
ST0971,2024-08-01,2026-03-29,351,739,744,비래동 유앤미아파트,36.360221,127.450114,대덕구,비래동,대전광역시 대덕구 비래동 531,606,0.5792,1483,True,ACTIVE
